klascode,richtingcode,richting,graad,domein,finaliteit,stage_weken
5APDA,APDA,Applicatie- en datatechnieken,3de graad,STEM,dubbele finaliteit,2.0
6APDA,APDA,Applicatie- en datatechnieken,3de graad,STEM,dubbele finaliteit,2.0
5ASWW,ASWW,"Assistentie in wonen, zorg en welzijn",3de graad,Maatschappij & Welzijn,arbeidsmarkt,6.0
5BZO,BZO,Basiszorg en ondersteuning,3de graad,Maatschappij & Welzijn,arbeidsmarkt,6.0
6BZO,BZO,Basiszorg en ondersteuning,3de graad,Maatschappij & Welzijn,arbeidsmarkt,10.0
5BO,BO,Bedrijf en Organisatie,3de graad,Economie & Organisatie,Doorstroom,2.0
6BO,BO,Bedrijf en Organisatie,3de graad,Economie & Organisatie,Doorstroom,2.0
3BW,BW,Bedrijfswetenschappen,2de graad,Economie & Organisatie,Doorstroom,
4BW,BW,Bedrijfswetenschappen,2de graad,Economie & Organisatie,Doorstroom,
5BIN,BIN,Binnenschrijnwerk en interieur,3de graad,STEM,arbeidsmarkt,4.0
6BIN,BIN,Binnenschrijnwerk en interieur,3de graad,STEM,arbeidsmarkt,4.0
5CO,CO,Commerciële Organisatie,3de graad,Economie & Organisatie,Doorstroom,2.0
3ELEK,ELEK,Elektriciteit,2de graad,STEM,arbeidsmarkt,
4ELEK,ELEK,Elektriciteit,2de graad,STEM,arbeidsmarkt,
5ELINS,ELINS,Elektrische installaties,3de graad,STEM,arbeidsmarkt,4.0
6ELINS,ELINS,Elektrische installaties,3de graad,STEM,arbeidsmarkt,4.0
5EMT,EMT,Elektromechanische technieken,3de graad,STEM,dubbele finaliteit,2.0
6EMT,EMT,Elektromechanische technieken,3de graad,STEM,dubbele finaliteit,2.0
3GRATECH,GRATECH,Grafische technieken,2de graad,STEM,dubbele finaliteit,
4GRATECH,GRATECH,Grafische technieken,2de graad,STEM,dubbele finaliteit,
5GRAFI,GRAFI,Grafische technieken,3de graad,STEM,dubbele finaliteit,2.0
6GRAFI,GRAFI,Grafische technieken,3de graad,STEM,dubbele finaliteit,2.0
3HSZ,HSZ,Haar- en schoonheidsverzorging,2de graad,Maatschappij & Welzijn,arbeidsmarkt,
